"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","171183896292939264_1","2025-06-30","Kerala","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445645"
"DELIVERED","171186517029717312_1","2025-06-30","West Bengal","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582816"
"DELIVERED","171187482550109504_1","2025-06-30","Kerala"," Broom Mop Holder Wall Mount Stainless Steel Wall Mounted Storage Organizer Heavy Duty Tools Hanger","SteelGrip 5+4","Free Size","1","430.0","430.0","KP9YAJU02582953"
"DELIVERED","171199000832740736_1","2025-06-30","West Bengal","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand","double rod stand","Free Size","1","260.0","260.0","KP9YAJU02582847"
"DELIVERED","171205634057408000_1","2025-06-30","Telangana","Stainless Steel 5 Racks With 4 Hooks Heavy Duty Wall Mounted Broom And Mop Stick Holder, Hanging Shelves Tools For Home Kitchen Garden Laundry Garage (1 Piece)","stainless steel mob holder 5","Free Size","1","430.0","430.0","KP9YAJU02582948"
"DELIVERED","171206647308979713_1","2025-06-30","Karnataka","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445629"
"DELIVERED","171212925726655808_1","2025-06-30","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02578957"
"DELIVERED","171215271120440768_1","2025-06-30","Andhra Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02578994"
"DELIVERED","171224224802377219_1","2025-06-30","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02578976"
"DELIVERED","171230533249848832_1","2025-06-30","Rajasthan"," ROUND SHAPED SILICON LINER I PACK OF 2 ALONG WITH PAIR OF MITTENS I","SILICON LINER with mittens","Free Size","1","150.0","150.0","TK2YAJU23445637"
"DELIVERED","171253993887600000_1","2025-06-30","Tamil Nadu","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand","double rod stand","Free Size","1","265.0","265.0","KP9YAJU02578855"
"DELIVERED","171256145837657536_1","2025-06-30","Andaman & Nicobar Islands","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand","double rod stand","Free Size","1","265.0","265.0","KP9MRQR02109594"
"DELIVERED","171256800636491265_1","2025-06-30","Himachal Pradesh","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445610"
"DELIVERED","171257577312194048_1","2025-06-30","Kerala","Rice Pot Drainer Stand | Stainless Steel Stand for Fruit, Beans, Noodle Strainer | Cooked Rice Strainer Stand | Hands Free Rice Drainer Stand","double rod stand","Free Size","1","265.0","265.0","KP9MRQR02109988"
"DELIVERED","171261906724883648_1","2025-06-30","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","270.0","270.0","KP9YAJU02578998"
"DELIVERED","171274350125944064_1","2025-06-30","Tamil Nadu","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445611"
