"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","159890890024902529_1","2025-05-30","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503331"
"DELIVERED","159892023024388608_1","2025-05-30","Punjab","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503330"
"DELIVERED","159901156783498821_1","2025-05-30","Karnataka","soap Holder for Kitchen Sink soap Holder Stainless Steel Faucet Rack for Kitchen Sink Stand Sponge Holder for Kitchen Sink Dish soap Holder for Kitchen Sink Rack for Kitchen soap Holder Sink","small sink organizer#01","Free Size","1","319.0","319.0",
"DELIVERED","159901521541145993_1","2025-05-30","Karnataka","Cable Management Box - White | Wire Bin | Power Strip, Cords, Surge Protector Hiding Cover Organizer | Hide Loose Wire for Home Office Desk Desktop Floor & Keep Children and Pet Safe","Cable manager box","Free Size","1","268.0","268.0","KP9YAJU02503322"
"CANCELLED","159909231842658890_1","2025-05-30","Chhattisgarh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0",
"DELIVERED","159929803460388352_1","2025-05-30","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","282.0","282.0","KP9YAJU02503329"
"DELIVERED","159939293635224966_1","2025-05-30","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503332"
"DELIVERED","159939405635724800_1","2025-05-30","Madhya Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503328"
"RTO_LOCKED","159946212118701639_1","2025-05-30","Gujarat","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503327"
"DELIVERED","159956244780623360_1","2025-05-30","Kerala","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503326"
"DELIVERED","159964998326625792_1","2025-05-30","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","2","298.0","298.0","KP9YAJU02503318"
"DELIVERED","159968199629153669_1","2025-05-30","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503325"
"DELIVERED","159979877301313408_1","2025-05-30","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","adjustable rack","Free Size","1","298.0","298.0","KP9YAJU02503324"
