"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","145577530544000128_1","2025-04-20","Madhya Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040820"
"RTO_COMPLETE","145735867612957825_1","2025-04-21","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040819"
"DELIVERED","145775260985886915_1","2025-04-21","Andhra Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040818"
"DELIVERED","145778238060861251_1","2025-04-21","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040817"
"DELIVERED","145779031690049218_1","2025-04-21","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040816"
"DELIVERED","145782988624828992_1","2025-04-21","Andhra Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040815"
"DELIVERED","145804816924669632_1","2025-04-21","Tamil Nadu","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","145816256506174016_1","2025-04-21","Kerala","STAINLESS STEEL RICE POT DRAIN STAND WITH STAINLESS STEEL CLEANING BRUSH","RPDS+BRUSH","Free Size","1","290.0","290.0",
"DELIVERED","145844776914753344_1","2025-04-21","Punjab","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040823"
"DELIVERED","145852957166270146_1","2025-04-21","Haryana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040809"
"DELIVERED","145872506010933824_1","2025-04-21","Madhya Pradesh","Mikado | Wooden 31 Pick-Up Sticks | Best Return Gift | Fun Family Indoor Board Game for Adults and Kids 5+ Years (Pack of 1)","Mikado","Free Size","1","99.0","99.0",
"DELIVERED","145896925564668096_1","2025-04-21","tamilnadu","Mikado Deluxe | 31 Wooden Pick-Up Sticks Game | Fun Family Indoor Game for All Ages | Perfect Return Gift with Storage Case and Multiple Game Modes","Mikado stick game","Free Size","1","99.0","99.0",
"DELIVERED","145903180697933698_1","2025-04-21","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040822"
"DELIVERED","145946812784154432_1","2025-04-21","Ladakh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040811"
"DELIVERED","145969743563978432_1","2025-04-22","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","295.0","295.0","TK9FBPS03040798"
"DELIVERED","146112800695683264_1","2025-04-22","Tamil Nadu","Homtheo|Rice Drainer Stand | Rice Pot Drainer Stand | Drain Stand for Rice | Stainless Steel Hands Free Rice Beans Noodle Pasta Drainer Strainer Stand|rice Dry stand","Homtheo RPS","Free Size","1","326.0","326.0",
"DELIVERED","146138729375500480_1","2025-04-22","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040800"
"DELIVERED","146140874183120704_1","2025-04-22","Andhra Pradesh","Mikado Deluxe | 31 Wooden Pick-Up Sticks Game | Fun Family Indoor Game for All Ages | Perfect Return Gift with Storage Case and Multiple Game Modes","Mikado stick game","Free Size","1","99.0","99.0",
"DELIVERED","146196324425566528_1","2025-04-22","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040799"
"RTO_COMPLETE","146212713978825216_1","2025-04-22","Karnataka","Stainless Steel Rice Pot Drain Stand|Noodles Strainer|Cooked Rice Strainer Stand|Hands Free Rice Drainer Stand|Stand for Fruit,Beans heat resistant mittens","Drainer Stand with blue mittesn","Free Size","1","298.0","298.0",
"DELIVERED","146224388756900353_1","2025-04-22","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040797"
"DELIVERED","146247181018798464_1","2025-04-22","Delhi","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","1 adjustable rack","Free Size","1","299.0","299.0","TK9FBPS03040796"
